Name,NetWorth,Source,Country,Rank,Age,Industry,Gender
Bernard Arnault & Family,$211 B,LVMH,France,1,74,Fashion & Retail,Male
Elon Musk,$180 B,"Tesla, SpaceX",United States,2,51,Automotive,Male
Jeff Bezos,$114 B,Amazon,United States,3,59,Technology,Male
Larry Ellison,$107 B,Oracle,United States,4,78,Technology,Male
Warren Buffett,$106 B,Berkshire Hathaway,United States,5,92,Finance & Investments,Male
Bill Gates,$104 B,Microsoft,United States,6,67,Technology,Male
Michael Bloomberg,$95 B,Bloomberg LP,United States,7,81,Media & Entertainment,Male
Carlos Slim Helu & Family,$93 B,Telecom,Mexico,8,83,Telecom,Male
Mukesh Ambani,$83 B,Diversified,India,9,65,Diversified,Male
Steve Ballmer,$81 B,Microsoft,United States,10,67,Technology,Male
Francoise Bettencourt Meyers & Family,$81 B,L'Oréal,France,11,69,Fashion & Retail,Female
Larry Page,$79 B,Google,United States,12,50,Technology,Male
Amancio Ortega,$77 B,Zara,Spain,13,87,Fashion & Retail,Male
Sergey Brin,$76 B,Google,United States,14,49,Technology,Male
Zhong Shanshan,$68 B,"Beverages, Pharmaceuticals",China,15,68,Food & Beverage,Male
Mark Zuckerberg,$64 B,Facebook,United States,16,38,Technology,Male
Charles Koch & Family,$59 B,Koch Industries,United States,17,87,Diversified,Male
Julia Koch & Family,$59 B,Koch Industries,United States,17,60,Diversified,Female
Jim Walton,$59 B,Walmart,United States,19,74,Fashion & Retail,Male
Rob Walton & Family,$58 B,Walmart,United States,20,78,Fashion & Retail,Male
Alice Walton,$57 B,Walmart,United States,21,73,Fashion & Retail,Female
David Thomson & Family,$54 B,Media,Canada,22,65,Media & Entertainment,Male
Michael Dell,$50 B,Dell Technologies,United States,23,58,Technology,Male
Gautam Adani,$47 B,"Infrastructure, Commodities",India,24,60,Diversified,Male
Phil Knight & Family,$45 B,Nike,United States,25,85,Fashion & Retail,Male
Zhang Yiming,$45 B,TikTok,China,26,39,Technology,Male
Dieter Schwarz,$43 B,Retail,Germany,27,83,Fashion & Retail,Male
François Pinault & Family,$40 B,Luxury goods,France,28,86,Fashion & Retail,Male
Klaus-Michael Kuehne,$39 B,Shipping,Switzerland,29,85,Logistics,Male
Giovanni Ferrero,$39 B,"Nutella, Chocolates",Belgium,30,58,Food & Beverage,Male
Jacqueline Mars,$38 B,"Candy, Pet Food",United States,31,83,Food & Beverage,Female
John Mars,$38 B,"Candy, Pet Food",United States,31,87,Food & Beverage,Male
Li Ka-shing,$38 B,Diversified,Hong Kong,33,94,Diversified,Male
Ma Huateng,$35 B,Internet media,China,34,51,Technology,Male
Miriam Adelson & Family,$35 B,Casinos,United States,35,77,Gambling & Casinos,Female
Ken Griffin,$35 B,Hedge funds,United States,35,54,Finance & Investments,Male
Mark Mateschitz,$35 B,Red Bull,Austria,37,30,Food & Beverage,Male
Robin Zeng,$33 B,Batteries,China,38,54,Automotive,Male
Tadashi Yanai & Family,$33 B,Fashion Retail,Japan,39,74,Fashion & Retail,Male
Len Blavatnik,$32 B,"Music, chemicals",United Kingdom,40,65,Diversified,Male
Alain Wertheimer,$32 B,Chanel,United States,41,74,Fashion & Retail,Male
Gerard Wertheimer,$32 B,Chanel,United States,41,72,Fashion & Retail,Male
Gianluigi Aponte,$31 B,Shipping,Switzerland,43,82,Logistics,Male
Rafaela Aponte-Diamant,$31 B,Shipping,Switzerland,43,78,Logistics,Female
Colin Huang,$30 B,E-commerce,China,45,43,Technology,Male
Reinhold Wuerth & Family,$30 B,Fasteners,Germany,46,87,Manufacturing,Male
Lee Shau Kee,$30 B,Real estate,Hong Kong,47,95,Real Estate,Male
Jeff Yass,$29 B,"Trading, Investments",United States,48,64,Finance & Investments,Male
Jim Simons,$28 B,Hedge funds,United States,49,84,Finance & Investments,Male
Stephen Schwarzman,$28 B,Investments,United States,50,76,Finance & Investments,Male
